prognosis,specialist
Fungal infection,Dermatologist
Allergy,Allergist
GERD,Gastroenterologist
Chronic cholestasis,Gastroenterologist
Drug Reaction,Dermatologist
Peptic ulcer diseae,Gastroenterologist
AIDS,Infectious Disease Specialist
Diabetes,Endocrinologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,Orthopedist
Paralysis (brain hemorrhage),Neurologist
Jaundice,Gastroenterologist
Malaria,Infectious Disease Specialist
Chicken pox,Dermatologist
Dengue,Infectious Disease Specialist
Typhoid,Infectious Disease Specialist
hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Hepatitis E,Hepatologist
Alcoholic hepatitis,Hepatologist
Tuberculosis,Pulmonologist
Common Cold,General Physician
Pneumonia,Pulmonologist
Dimorphic hemmorhoids(piles),Proctologist
Heart attack,Cardiologist
Varicose veins,Vascular Surgeon
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthristis,Orthopedist
Arthritis,Rheumatologist
(vertigo) Paroymsal Positional Vertigo,ENT Specialist
Acne,Dermatologist
Urinary tract infection,Urologist
Psoriasis,Dermatologist
Impetigo,Dermatologist
